Index,Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,SeriousCritical,CasesPerMillion,DeathsPerMillion,TotalTests,TestsPerMillion,Population,CFR,RecoveryRate
88,Venezuela,544687,5814.0,538033.0,840.0,36.0,18611.0,199.0,3359014.0,114771.41602975174,29266991.0,1.0674020125319679,98.77838097843349
89,Egypt,515645,24613.0,442182.0,48850.0,122.0,4857.0,232.0,3693367.0,34791.6549622703,106156692.0,4.7732451589756515,85.75318290684483
90,Libya,506991,6437.0,500507.0,47.0,101.0,72008.0,914.0,2481983.0,352517.0986877099,7040745.0,1.2696477846746788,98.7210818337998
91,Ethiopia,493563,7572.0,471918.0,14073.0,1.0,4085.0,63.0,5258807.0,43528.59498262343,120812698.0,1.5341506555394144,95.61454160867002
92,Réunion,472336,893.0,418572.0,52871.0,10.0,520159.0,983.0,1603660.0,1766026.7316843253,908061.0,0.18906032993462282,88.6174248839809
93,Honduras,456391,10993.0,0.0,445398.0,105.0,44651.0,1076.0,1528531.0,149544.47338959717,10221247.0,2.4086802763419963,0.0
94,Qatar,450448,682.0,443418.0,6348.0,4.0,151161.0,229.0,3951470.0,1326034.4674260842,2979915.0,0.15140482364224062,98.43933150996341
95,Armenia,442875,8683.0,430192.0,4000.0,0.0,149018.0,2922.0,3210961.0,1080416.4650605018,2971966.0,1.9605983629692352,97.13621224950607
96,Bosnia and Herzegovina,398668,16136.0,376654.0,5878.0,0.0,122693.0,4966.0,1861041.0,572748.3652718402,3249317.0,4.047478102079926,94.4781121133374
97,Oman,397993,4260.0,384669.0,9064.0,2.0,74755.0,800.0,25000000.0,4695723.679576589,5323993.0,1.0703705844072633,96.65220242567081
98,North Macedonia,342775,9534.0,332806.0,435.0,0.0,164692.0,4581.0,2130257.0,1023520.3507032129,2081304.0,2.7814163810079497,97.09167821457224
99,Kenya,338420,5678.0,332663.0,79.0,1.0,6020.0,101.0,3881967.0,69055.44318681945,56215221.0,1.6777968205188818,98.2988594054725
100,Zambia,333531,4017.0,329375.0,139.0,0.0,17130.0,206.0,3731374.0,191645.05162084854,19470234.0,1.2043857992210618,98.75393891422387
101,Albania,332173,3588.0,326729.0,1856.0,0.0,115886.0,1252.0,1941032.0,677173.3207180919,2866374.0,1.0801600370891071,98.36109497159613
102,Botswana,326308,2789.0,322955.0,564.0,1.0,133669.0,1142.0,2026898.0,830300.4880462665,2441162.0,0.8547139512362554,98.97244321316057
103,Luxembourg,288658,1123.0,283668.0,3867.0,0.0,449363.0,1748.0,4402293.0,6853193.8708316535,642371.0,0.389041703330585,98.27131068600212
104,Montenegro,280002,2781.0,276154.0,1067.0,6.0,445899.0,4429.0,2624193.0,4178983.9955410464,627950.0,0.9932071913772045,98.6257241019707
105,Algeria,270668,6879.0,182306.0,81483.0,6.0,5968.0,152.0,230861.0,5090.633882826579,45350148.0,2.5414899433992937,67.35410170393249
106,Nigeria,265382,3155.0,258381.0,3846.0,11.0,1224.0,15.0,5441162.0,25103.75533155177,216746934.0,1.18885229593567,97.36191603047682
107,Zimbabwe,257409,5602.0,251281.0,526.0,12.0,16790.0,365.0,2511501.0,163813.89913581434,15331428.0,2.1763030818658247,97.61935285868016
108,China,250449,5226.0,242254.0,2969.0,36.0,173.0,4.0,160000000.0,110461.27662582774,1448471400.0,2.086652372339279,96.72787673338684
109,Uzbekistan,244199,1637.0,241486.0,1076.0,23.0,7103.0,48.0,1377915.0,40076.54102642527,34382084.0,0.6703549154582943,98.88902083956118
110,Mozambique,230219,2221.0,227882.0,116.0,11.0,6957.0,67.0,1371127.0,41436.969916191745,33089461.0,0.9647335797653539,98.9848796146278
111,Brunei,226237,225.0,222140.0,3872.0,3.0,507906.0,505.0,717784.0,1611437.0126910792,445431.0,0.09945322825178907,98.18906721712187
112,Martinique,221618,1044.0,0.0,220574.0,8.0,592424.0,2791.0,828928.0,2215869.5704475166,374087.0,0.4710808688824915,0.0
113,Laos,215843,758.0,0.0,215085.0,0.0,28852.0,101.0,1233207.0,164844.70105224912,7481023.0,0.35118118261884795,0.0
114,Kyrgyzstan,206083,2991.0,196406.0,6686.0,131.0,30629.0,445.0,1907195.0,283459.8963091707,6728271.0,1.4513569775284716,95.30431913355298
115,Iceland,205637,213.0,0.0,205424.0,2.0,595371.0,617.0,1996384.0,5780036.074848072,345393.0,0.10358058131561927,0.0
116,El Salvador,201785,4229.0,179410.0,18146.0,8.0,30805.0,646.0,2610114.0,398467.0223401999,6550389.0,2.0957950293629355,88.91146517332805
117,Afghanistan,199067,7799.0,177850.0,13418.0,1124.0,4885.0,191.0,1103716.0,27082.138983414497,40754388.0,3.9177764270321047,89.34177940090522
118,Guadeloupe,192801,989.0,0.0,191812.0,19.0,482251.0,2474.0,938039.0,2346305.847511468,399794.0,0.5129641443768446,0.0
119,Maldives,185042,308.0,163687.0,21047.0,25.0,342046.0,569.0,2213831.0,4092222.5200329027,540985.0,0.16644869813339674,88.45937679013414
120,Trinidad and Tobago,182597,4195.0,174214.0,4188.0,18.0,129816.0,2982.0,834508.0,593286.5770643082,1406585.0,2.2974090483414296,95.40901548218207
121,Uganda,169396,3628.0,100431.0,65337.0,3.0,3498.0,75.0,3012408.0,62197.60330914157,48432863.0,2.1417270773808115,59.28770455028454
122,Namibia,169253,4065.0,164813.0,375.0,0.0,64260.0,1543.0,1062663.0,403460.0743999143,2633874.0,2.4017299545650594,97.37670824150827
123,Ghana,169100,1459.0,167307.0,334.0,2.0,5220.0,45.0,2504017.0,77295.33005406623,32395450.0,0.8628030751034891,98.93968066232999
124,Jamaica,151829,3317.0,99239.0,49273.0,0.0,50862.0,1111.0,1183986.0,396632.7358535443,2985094.0,2.1846946235567644,65.36234843145907
125,Cambodia,137870,3056.0,134745.0,69.0,0.0,8030.0,178.0,3069567.0,178789.18649288392,17168639.0,2.2165808370203814,97.73337201711757
126,Rwanda,132498,1466.0,130955.0,77.0,0.0,9742.0,108.0,5816624.0,427678.3497974775,13600464.0,1.1064317951969085,98.8354541200622
127,Cameroon,121652,1935.0,118616.0,1101.0,13.0,4358.0,69.0,1751774.0,62761.621103924444,27911548.0,1.5906027027915695,97.50435668957354
128,Malta,114652,806.0,113195.0,651.0,4.0,258206.0,1815.0,2060900.0,4641321.703567077,444033.0,0.7029968949516798,98.72919792066426
129,Angola,103131,1917.0,101155.0,59.0,0.0,2944.0,55.0,1499795.0,42817.83519806227,35027343.0,1.8588009424906187,98.08399026480885
130,Barbados,102546,559.0,101760.0,227.0,0.0,356034.0,1941.0,765378.0,2657350.2810539436,288023.0,0.5451212138942524,99.23351471534725
131,French Guiana,93974,410.0,11254.0,82310.0,3.0,299119.0,1305.0,651257.0,2072951.1823254363,314169.0,0.43629088896928936,11.975652840147275
132,DRC,92852,1442.0,83504.0,7906.0,0.0,975.0,15.0,846704.0,8890.140266788205,95240792.0,1.5530090897342006,89.93236548485763
133,Channel Islands,91561,202.0,90639.0,720.0,0.0,518868.0,1145.0,1252808.0,7099550.614009736,176463.0,0.2206179486899444,98.99302104607857
134,Senegal,88373,1968.0,86297.0,108.0,0.0,5006.0,111.0,1146543.0,64946.43522018735,17653671.0,2.2269245131431545,97.6508662147941
135,Malawi,88024,2682.0,84872.0,470.0,67.0,4362.0,133.0,616772.0,30562.257594939438,20180839.0,3.046896301008816,96.41915841134237
136,Ivory Coast,87208,826.0,86338.0,44.0,0.0,3144.0,30.0,1628106.0,58686.77497444516,27742298.0,0.9471608109347767,99.0023851022842
137,Suriname,81106,1385.0,0.0,79721.0,0.0,135894.0,2321.0,239178.0,400746.6100118794,596831.0,1.707641851404335,0.0
138,French Polynesia,76599,649.0,0.0,75950.0,7.0,269559.0,2284.0,247717.551606,871741.5,284164.0,0.8472695465998251,0.0
139,New Caledonia,74152,314.0,73823.0,15.0,9.0,254892.0,1079.0,98964.0,340181.84005637385,290915.0,0.42345452583881754,99.55631675477397
140,Eswatini,73390,1422.0,71955.0,13.0,11.0,61942.0,1200.0,1045903.0,882754.889573664,1184817.0,1.9375936776127538,98.04469273743017
141,Guyana,71336,1281.0,69977.0,78.0,0.0,89839.0,1613.0,695695.0,876140.5210032177,794045.0,1.7957272625322418,98.09493103061567
142,Belize,68826,683.0,68079.0,64.0,6.0,166976.0,1657.0,576016.0,1397452.6310681966,412190.0,0.9923575393020081,98.91465434574144
143,Fiji,68242,878.0,66302.0,1062.0,0.0,75035.0,965.0,662620.0,728581.387319592,909466.0,1.2865976964332817,97.15717593271006
144,Madagascar,66676,1410.0,65242.0,24.0,0.0,2285.0,48.0,512993.0,17581.453363084896,29178077.0,2.114703941448197,97.8493010978463
145,Sudan,63285,4961.0,57290.0,1034.0,0.0,1376.0,108.0,562941.0,12239.97119500296,45992020.0,7.839140396618472,90.52698111716838
146,Mauritania,62812,995.0,61789.0,28.0,0.0,12814.0,203.0,970892.0,198061.15119581248,4901981.0,1.5840922116792968,98.37133031904732
147,Cabo Verde,62371,410.0,61890.0,71.0,23.0,109870.0,722.0,401622.0,707482.0584909051,567678.0,0.6573567844030078,99.22880826024915
148,Bhutan,61730,21.0,61564.0,145.0,0.0,78343.0,27.0,2303734.0,2923739.213976681,787941.0,0.034019115502996924,99.73108699173821
149,Syria,57299,3163.0,54078.0,58.0,0.0,2959.0,163.0,146269.0,7553.3407016821075,19364809.0,5.520166146006038,94.3786104469537
150,Burundi,50129,38.0,49559.0,532.0,0.0,3971.0,3.0,345742.0,27385.852018718655,12624840.0,0.0758044245845718,98.86293363123141
151,Gabon,48691,306.0,48292.0,93.0,0.0,20884.0,131.0,1616256.0,693216.0085231477,2331533.0,0.6284528968392515,99.18054671294489
152,Seychelles,47141,169.0,46446.0,526.0,0.0,474132.0,1700.0,86673.770379,871741.5,99426.0,0.35849897117159163,98.52569949725292
153,Andorra,46227,155.0,46011.0,61.0,14.0,596762.0,2001.0,249838.0,3225255.928636898,77463.0,0.3353018798537651,99.53274060613927
154,Curaçao,45127,282.0,44720.0,125.0,3.0,272623.0,1704.0,496693.0,3000640.371173631,165529.0,0.6249030513883042,99.09810091519489
155,Papua New Guinea,44997,668.0,43982.0,347.0,7.0,4842.0,72.0,249149.0,26812.792578352804,9292169.0,1.4845434140053781,97.7442940640487
156,Aruba,42914,227.0,42438.0,249.0,2.0,398796.0,2109.0,177885.0,1653068.0519287419,107609.0,0.5289649065573007,98.89080486554505
157,Mauritius,40461,1024.0,38786.0,651.0,0.0,31741.0,803.0,358675.0,281373.9726231577,1274727.0,2.530832159363338,95.86021106744766
158,Mayotte,40243,187.0,0.0,40056.0,0.0,140582.0,653.0,176919.0,618038.2101523445,286259.0,0.4646770866983078,0.0
159,Tanzania,39440,845.0,0.0,38595.0,7.0,623.0,13.0,55179972.924825,871741.5,63298550.0,2.142494929006085,0.0
160,Togo,39034,285.0,38528.0,221.0,0.0,4497.0,33.0,791865.0,91219.89043222445,8680837.0,0.7301327048214378,98.70369421529949
161,Isle of Man,38008,116.0,0.0,37892.0,0.0,443335.0,1353.0,150753.0,1758421.5928708066,85732.0,0.3051989054935803,0.0
162,Guinea,37652,449.0,36880.0,323.0,8.0,2715.0,32.0,660107.0,47607.21986376301,13865691.0,1.1924997344098587,97.94964410921067
163,Bahamas,37267,833.0,36070.0,364.0,2.0,93047.0,2080.0,248846.0,621313.5055778046,400516.0,2.235221509646604,96.78804304075992
164,Faeroe Islands,34658,28.0,0.0,34630.0,5.0,703959.0,569.0,778000.0,15802408.9533443,49233.0,0.08078942812626233,0.0
165,Lesotho,34490,706.0,25980.0,7804.0,0.0,15852.0,324.0,431221.0,198198.83173177906,2175699.0,2.046970136271383,75.3261815018846
166,Haiti,33733,857.0,31307.0,1569.0,0.0,2888.0,73.0,132422.0,11337.225305243031,11680283.0,2.5405389381318,92.80822933032935
167,Mali,32625,742.0,31591.0,292.0,0.0,1519.0,35.0,759178.0,35353.746087551306,21473764.0,2.274329501915709,96.83065134099617
168,Cayman Islands,30661,32.0,8553.0,22076.0,1.0,455743.0,476.0,222773.0,3311280.2294989373,67277.0,0.10436711131404715,27.895371970907668
169,Saint Lucia,29408,391.0,28475.0,542.0,0.0,158865.0,2112.0,210354.0,1136354.5510039814,185113.0,1.3295701849836778,96.82739390642003
170,Benin,27638,163.0,27322.0,153.0,5.0,2162.0,13.0,604310.0,47268.12291479692,12784726.0,0.5897677111223677,98.85664664592228
171,Somalia,27214,1352.0,13182.0,12680.0,0.0,1616.0,80.0,400466.0,23778.106787310975,16841795.0,4.9680311604321306,48.43830381421327
172,Congo,24837,386.0,24006.0,445.0,0.0,4284.0,67.0,347815.0,59990.80686570176,5797805.0,1.5541329468132221,96.65418528807827
173,Timor-Leste,23253,138.0,23102.0,13.0,0.0,16980.0,101.0,278529.0,203390.6102470446,1369429.0,0.5934718100890208,99.35062142519246
174,Burkina Faso,21631,387.0,21143.0,101.0,0.0,979.0,18.0,248995.0,11265.295434007161,22102838.0,1.7890989783181543,97.74397854930425
175,Solomon Islands,21544,153.0,16357.0,5034.0,1.0,29874.0,212.0,5117.0,7095.522623998314,721159.0,0.7101745265503157,75.92369105087263
176,San Marino,20763,118.0,20524.0,121.0,4.0,609154.0,3462.0,157634.0,4624732.286929735,34085.0,0.5683186437412706,98.84891393343929
177,Gibraltar,20092,108.0,16579.0,3405.0,0.0,596131.0,3204.0,534283.0,15852213.387135059,33704.0,0.5375273740792356,82.5154290264782
178,Liechtenstein,19713,86.0,19403.0,224.0,2.0,513533.0,2240.0,102174.0,2661682.340375648,38387.0,0.4362603358190027,98.42743367321057
179,Grenada,19536,237.0,19248.0,51.0,4.0,172161.0,2089.0,179808.0,1584560.4758757434,113475.0,1.2131449631449631,98.52579852579852
180,Nicaragua,18491,225.0,4225.0,14041.0,0.0,2728.0,33.0,5909622.80265,871741.5,6779100.0,1.2168081769509491,22.848953544967824
181,Bermuda,18154,148.0,17969.0,37.0,0.0,293095.0,2389.0,1006083.0,16243126.301683916,61939.0,0.815247328412471,98.9809408394844
